fold_id,train_period,test_period,test_n,accuracy,precision,recall,f1,auc,p_value,ci_low,ci_high
fold_01,2025-07-23 to 2025-08-31,2025-09-01 to 2025-09-14,63,0.302,0.0,0.0,0.0,0.5,0.999,0.206,0.429
fold_02,2025-07-23 to 2025-09-14,2025-09-15 to 2025-09-30,84,0.488,0.0,0.0,0.0,0.5,0.586,0.381,0.595
fold_03,2025-07-23 to 2025-09-30,2025-10-01 to 2025-10-15,77,0.519,0.0,0.0,0.0,0.5,0.366,0.416,0.623
fold_04,2025-07-23 to 2025-10-15,2025-10-16 to 2025-10-31,84,0.5,0.758,0.424,0.543,0.526,0.5,0.393,0.619
fold_05,2025-07-23 to 2025-10-31,2025-11-01 to 2025-11-20,98,0.602,0.492,0.763,0.598,0.594,0.022,0.51,0.704
Mean,-,-,406,0.482,0.25,0.237,0.228,0.524,-,0.381,0.594
Std,-,-,11.4,0.0985,0.3175,0.3099,0.28,0.0364,-,-,-
