ticker,date_range,trading_days,total_headlines,avg_headlines_per_day,headline_coverage_pct,train_samples,val_samples,test_samples,class_balance_train_pct,class_balance_test_pct,positive_sentiment_pct
AAPL,2025-07-23 to 2025-11-20,86,81,0.94,14.0,60,13,13,50.0,38.5,11.6
AMZN,2025-07-23 to 2025-11-20,86,36,0.42,4.7,60,13,13,51.7,46.2,4.7
GOOGL,2025-07-23 to 2025-11-20,86,36,0.42,4.7,60,13,13,56.7,53.8,3.5
META,2025-07-23 to 2025-11-20,86,24,0.28,7.0,60,13,13,45.0,38.5,7.0
MSFT,2025-07-23 to 2025-11-20,86,62,0.72,9.3,60,13,13,51.7,30.8,8.1
NVDA,2025-07-23 to 2025-11-20,86,36,0.42,2.3,60,13,13,51.7,38.5,2.3
TSLA,2025-07-23 to 2025-11-20,86,50,0.58,12.8,60,13,13,55.0,38.5,11.6
Total,2025-07-23 to 2025-11-20,86,325,0.54,7.8,421,90,91,51.8,40.7,7.0
