fold_id,train_period,test_period,test_n,accuracy,precision,recall,f1,auc,p_value,ci_low,ci_high,class_balance_train_pct,class_balance_test_pct,threshold,train_time_s
fold_01,< 2025-09-01,2025-09-01 to 2025-09-14,63,0.524,0.675,0.614,0.643,0.441,0.401,0.397,0.651,48.5,69.8,0.45,3.496
fold_02,< 2025-09-15,2025-09-15 to 2025-09-30,84,0.524,0.524,0.767,0.623,0.553,0.372,0.417,0.631,52.7,51.2,0.5,3.33
fold_03,< 2025-10-01,2025-10-01 to 2025-10-15,77,0.532,0.507,0.973,0.667,0.435,0.324,0.416,0.636,51.0,48.1,0.45,3.564
fold_04,< 2025-10-16,2025-10-16 to 2025-10-31,84,0.702,0.702,1.0,0.825,0.452,0.0,0.607,0.798,51.3,70.2,0.05,3.889
fold_05,< 2025-11-01,2025-11-01 to 2025-11-20,98,0.469,0.41,0.842,0.552,0.631,1.0,0.377,0.561,54.4,38.8,0.5,3.891
mean,-,-,406,0.55,0.564,0.839,0.662,0.502,-,-,-,-,-,-,3.634
std,-,-,0,0.079,0.109,0.141,0.09,0.077,-,-,-,-,-,-,0.222
note_binomial,-,-,-,p-value is one-sided vs 0.50,-,-,-,-,-,-,-,-,-,-,-
note_bootstrap,-,-,-,95% CI via 1000 bootstrap resamples,-,-,-,-,-,-,-,-,-,-,-
