ticker,trading_days,total_headlines,avg_headlines_per_day,coverage_pct,train_rows,val_rows,test_rows,positive_return_days_pct,positive_sentiment_pct,date_min,date_max
AAPL,86,81,0.94,14.0,60,13,13,52.3,11.6,2025-07-23,2025-11-20
AMZN,86,68,0.79,11.8,60,13,13,51.2,10.2,2025-07-23,2025-11-20
GOOGL,86,75,0.87,13.0,60,13,13,53.5,12.1,2025-07-23,2025-11-20
META,86,62,0.72,10.8,60,13,13,50.0,9.8,2025-07-23,2025-11-20
MSFT,86,79,0.92,13.7,60,13,13,54.7,13.4,2025-07-23,2025-11-20
NVDA,86,91,1.06,15.8,60,13,13,55.2,14.9,2025-07-23,2025-11-20
TSLA,86,69,0.80,12.0,60,13,13,52.8,11.3,2025-07-23,2025-11-20
Total,602,525,0.87,12.1,420,91,91,52.4,11.9,2025-07-23,2025-11-20
