Train\Test,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,Avg_OOS,Delta_vs_Random
AAPL,0.429,0.429,0.5,0.357,0.286,0.357,0.357,0.381,-0.071
AMZN,0.571,0.571,0.5,0.643,0.714,0.643,0.643,0.619,0.071
GOOGL,0.5,0.429,0.786,0.571,0.429,0.357,0.786,0.512,0.286
META,0.571,0.643,0.5,0.429,0.429,0.643,0.643,0.571,-0.071
MSFT,0.429,0.429,0.357,0.643,0.786,0.357,0.643,0.476,0.286
NVDA,0.643,0.429,0.286,0.643,0.643,0.5,0.643,0.548,0.0
TSLA,0.429,0.571,0.571,0.357,0.786,0.357,0.571,0.512,0.071
Pooled-All,0.5,0.429,0.357,0.357,0.286,0.5,0.357,0.398,-0.102
Random Baseline,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
